seed,mixing,condition,recipient_rule,partner_signal_scale,alpha_scale,rA,rV,rate,pair_x_corr_post,pair_q_corr_post,repeat1,repeat5,repeat20,pair_digest
4848,random,D_SWAP,swapped_one_sided,1,1,0.337891,0.245004,0.283343,0.997924,0.723074,0.000253583,0.00125142,0.00497954,13041343288079651521
4949,random,D_SWAP,swapped_one_sided,1,1,0.518947,0.358169,0.207987,0.999298,0.791568,0.000252875,0.00124604,0.00495442,15688078512293176947
5050,random,D_SWAP,swapped_one_sided,1,1,0.105175,0.0953229,0.0801023,0.998584,0.768306,0.000250542,0.00125712,0.00497775,14347374636339464340
5151,random,D_SWAP,swapped_one_sided,1,1,0.227015,0.16626,0.37868,0.997796,0.702834,0.000255125,0.00124996,0.00500521,9535685278167279799
5252,random,D_SWAP,swapped_one_sided,1,1,0.612526,0.396657,0.422918,0.995511,0.752493,0.000249708,0.00125212,0.00497817,8498188523165093839
5353,random,D_SWAP,swapped_one_sided,1,1,0.145133,0.139401,0.31793,0.996841,0.710561,0.000257125,0.00125358,0.004985,11689919448206570347
5454,random,D_SWAP,swapped_one_sided,1,1,0.439716,0.342277,0.200931,0.998123,0.727212,0.000252333,0.00125325,0.00500075,7295714592094838707
5555,random,D_SWAP,swapped_one_sided,1,1,0.517358,0.3596,0.522689,0.995918,0.581268,0.000249708,0.00125004,0.00499862,5149605271688457828
5656,random,D_SWAP,swapped_one_sided,1,1,0.218408,0.182265,0.212649,0.997832,0.758621,0.000245625,0.00125558,0.00499654,11541920501219194692
101,random,Y_ABLATE,both_update,0,1,0.648384,0.460357,0.406404,0.971328,0.707424,0.000248208,0.00124396,0.00500592,15088318594308599739
202,random,Y_ABLATE,both_update,0,1,0.386018,0.259398,0.0812003,0.971424,0.667697,0.000248625,0.00125575,0.00498742,4914822966185049061
303,random,Y_ABLATE,both_update,0,1,0.168645,0.15577,0.37738,0.963149,0.683005,0.000253875,0.00126771,0.00500675,4592148954548078428
404,random,Y_ABLATE,both_update,0,1,0.386189,0.297639,0.296577,0.967026,0.713681,0.000249333,0.00125554,0.00499383,3352798620045422019
505,random,Y_ABLATE,both_update,0,1,0.41959,0.305913,0.280082,0.983803,0.621133,0.000247417,0.00124296,0.00498042,4759851087943297059
